intDate,mediaType,offerCount,Score
2023-06-02,email,1391,93.14
2023-06-02,callback,29,93.14
2023-06-05,email,1457,93.8
2023-06-05,message,173,93.8
2023-06-05,callback,56,93.8
2023-06-05,voice,366,93.8
2023-06-06,voice,430,91.92
2023-06-06,email,1693,91.92
2023-06-06,message,224,91.92
2023-06-06,callback,61,91.92
2023-06-07,message,186,94.42
2023-06-07,email,1731,94.42
2023-06-07,callback,83,94.42
2023-06-07,voice,402,94.42
2023-06-08,message,186,93.92
2023-06-08,callback,76,93.92
2023-06-08,voice,466,93.92
2023-06-08,email,1643,93.92
2023-06-09,email,1421,93.22
2023-06-09,voice,362,93.22
2023-06-09,message,147,93.22
2023-06-09,callback,49,93.22
2023-06-12,voice,123,93.14
2023-06-12,message,73,93.14
2023-06-12,email,713,93.14
2023-06-12,callback,5,93.14
2023-06-13,voice,475,94.4
2023-06-13,message,178,94.4
2023-06-13,email,1938,94.4
2023-06-13,callback,25,94.4
2023-06-14,voice,452,87.32
2023-06-14,message,202,87.32
2023-06-14,callback,31,87.32
2023-06-14,email,1768,87.32
2023-06-15,email,1696,88.56
2023-06-15,message,166,88.56
2023-06-15,callback,54,88.56
2023-06-15,voice,427,88.56
2023-06-16,email,1289,89.81
2023-06-16,callback,28,89.81
2023-06-16,voice,333,89.81
2023-06-16,message,144,89.81
2023-06-19,callback,108,94.74
2023-06-19,voice,296,94.74
2023-06-19,message,242,94.74
2023-06-19,email,1831,94.74
2023-06-20,callback,81,91.72
2023-06-20,email,1807,91.72
2023-06-20,voice,408,91.72
2023-06-20,message,227,91.72
2023-06-21,message,214,91.56
2023-06-21,voice,352,91.56
2023-06-21,email,1763,91.56
2023-06-21,callback,88,91.56
2023-06-22,voice,380,93.98
2023-06-22,message,193,93.98
2023-06-22,email,1594,93.98
2023-06-22,callback,72,93.98
2023-06-23,voice,356,93.75
2023-06-23,callback,64,93.75
2023-06-23,email,1559,93.75
2023-06-23,message,145,93.75
2023-06-26,message,179,94.77
2023-06-26,voice,335,94.77
2023-06-26,email,1518,94.77
2023-06-26,callback,52,94.77
2023-06-27,email,1502,92.74
2023-06-27,message,212,92.74
2023-06-27,callback,96,92.74
2023-06-27,voice,341,92.74
2023-06-28,email,1512,93.59
2023-06-28,message,195,93.59
2023-06-28,callback,69,93.59
2023-06-28,voice,333,93.59
2023-06-29,message,150,93.75
2023-06-29,email,1732,93.75
2023-06-29,callback,33,93.75
2023-06-29,voice,318,93.75
2023-06-30,callback,33,95.32
2023-06-30,email,1263,95.32
2023-06-30,message,104,95.32
2023-06-30,voice,263,95.32
2023-07-03,voice,244,94.42
2023-07-03,callback,79,94.42
2023-07-03,email,1436,94.42
2023-07-03,message,187,94.42
2023-07-04,voice,243,94.1
2023-07-04,message,212,94.1
2023-07-04,callback,110,94.1
2023-07-04,email,1472,94.1
2023-07-05,email,1609,93.69
2023-07-05,message,247,93.69
2023-07-05,callback,97,93.69
2023-07-05,voice,258,93.69
2023-07-06,message,187,94.7
2023-07-06,callback,73,94.7
2023-07-06,voice,306,94.7
2023-07-06,email,1580,94.7
2023-07-07,email,1408,95.85
2023-07-07,voice,242,95.85
2023-07-07,callback,43,95.85
2023-07-07,message,100,95.85
2023-07-10,callback,49,95.87
2023-07-10,email,1473,95.87
2023-07-10,voice,278,95.87
2023-07-10,message,174,95.87
2023-07-11,callback,61,96.11
2023-07-11,email,1729,96.11
2023-07-11,message,188,96.11
2023-07-11,voice,252,96.11
2023-07-12,message,180,96.27
2023-07-12,voice,303,96.27
2023-07-12,callback,42,96.27
2023-07-12,email,1730,96.27
2023-07-13,message,159,94.35
2023-07-13,email,1836,94.35
2023-07-13,voice,314,94.35
2023-07-13,callback,25,94.35
2023-07-14,email,1288,94.99
2023-07-14,voice,275,94.99
2023-07-14,message,135,94.99
2023-07-14,callback,28,94.99
2023-07-17,callback,30,94.13
2023-07-17,email,1512,94.13
2023-07-17,message,165,94.13
2023-07-17,voice,303,94.13
2023-07-18,voice,361,95.82
2023-07-18,email,1591,95.82
2023-07-18,message,219,95.82
2023-07-18,callback,65,95.82
2023-07-19,voice,381,95.8
2023-07-19,email,1470,95.8
2023-07-19,callback,59,95.8
2023-07-19,message,185,95.8
2023-07-20,callback,61,93.06
2023-07-20,voice,363,93.06
2023-07-20,message,166,93.06
2023-07-20,email,1570,93.06
2023-07-21,callback,22,94.99
2023-07-21,voice,282,94.99
2023-07-21,email,1464,94.99
2023-07-21,message,130,94.99
2023-07-24,voice,335,94.41
2023-07-24,message,162,94.41
2023-07-24,email,1527,94.41
2023-07-24,callback,39,94.41
2023-07-25,callback,38,95.11
2023-07-25,email,1499,95.11
2023-07-25,message,187,95.11
2023-07-25,voice,358,95.11
2023-07-26,message,212,95.52
2023-07-26,email,1364,95.52
2023-07-26,callback,45,95.52
2023-07-26,voice,313,95.52
2023-07-27,message,191,95.53
2023-07-27,email,1452,95.53
2023-07-27,voice,288,95.53
2023-07-27,callback,47,95.53
2023-07-28,email,1220,95.48
2023-07-28,message,140,95.48
2023-07-28,callback,25,95.48
2023-07-28,voice,291,95.48
2023-07-31,callback,34,94.85
2023-07-31,email,1451,94.85
2023-07-31,message,174,94.85
2023-07-31,voice,308,94.85
2023-08-01,message,190,95.65
2023-08-01,email,1373,95.65
2023-08-01,callback,35,95.65
2023-08-01,voice,334,95.65
2023-08-02,voice,368,93.17
2023-08-02,email,1414,93.17
2023-08-02,callback,40,93.17
2023-08-02,message,193,93.17
2023-08-03,message,7,95.4
2023-08-03,email,984,95.4
2023-08-04,message,188,94.09
2023-08-04,email,1143,94.09
2023-08-04,callback,54,94.09
2023-08-04,voice,262,94.09
2023-08-07,voice,249,90.9
2023-08-07,callback,27,90.9
2023-08-07,email,1463,90.9
2023-08-07,message,190,90.9
2023-08-08,callback,28,93.71
2023-08-08,message,216,93.71
2023-08-08,voice,288,93.71
2023-08-08,email,1449,93.71
2023-08-09,email,1537,95.4
2023-08-09,voice,355,95.4
2023-08-09,callback,13,95.4
2023-08-09,message,190,95.4
2023-08-10,message,174,94.46
2023-08-10,email,1382,94.46
2023-08-10,voice,349,94.46
2023-08-10,callback,10,94.46
2023-08-11,message,159,96.26
2023-08-11,email,1249,96.26
2023-08-11,callback,19,96.26
2023-08-11,voice,279,96.26
2023-08-14,message,201,95.43
2023-08-14,callback,63,95.43
2023-08-14,email,1188,95.43
2023-08-14,voice,215,95.43
2023-08-15,callback,78,95.35
2023-08-15,voice,285,95.35
2023-08-15,message,238,95.35
2023-08-15,email,1102,95.35
2023-08-16,message,166,95.21
2023-08-16,voice,348,95.21
2023-08-16,callback,13,95.21
2023-08-16,email,970,95.21
2023-08-17,message,164,93.38
2023-08-17,email,1151,93.38
2023-08-17,voice,302,93.38
2023-08-17,callback,27,93.38
2023-08-18,callback,28,93.3
2023-08-18,message,142,93.3
2023-08-18,voice,294,93.3
2023-08-18,email,972,93.3
2023-08-21,message,20,94.47
2023-08-21,email,798,94.47
2023-08-21,voice,1,94.47
2023-08-21,callback,1,94.47
2023-08-22,callback,49,94.77
2023-08-22,voice,314,94.77
2023-08-22,email,1222,94.77
2023-08-22,message,197,94.77
2023-08-23,voice,286,95.84
2023-08-23,message,174,95.84
2023-08-23,email,1273,95.84
2023-08-23,callback,54,95.84
2023-08-24,callback,44,95.81
2023-08-24,email,1171,95.81
2023-08-24,voice,325,95.81
2023-08-24,message,196,95.81
2023-08-25,message,164,95.5
2023-08-25,callback,56,95.5
2023-08-25,email,1145,95.5
2023-08-25,voice,251,95.5
2023-08-28,callback,51,93.65
2023-08-28,voice,324,93.65
2023-08-28,email,1312,93.65
2023-08-28,message,214,93.65
2023-08-29,callback,25,95.9
2023-08-29,message,174,95.9
2023-08-29,email,1244,95.9
2023-08-29,voice,355,95.9
2023-08-30,voice,333,94.91
2023-08-30,callback,63,94.91
2023-08-30,email,1357,94.91
2023-08-30,message,193,94.91
2023-08-31,message,165,90.53
2023-08-31,email,1362,90.53
2023-08-31,callback,46,90.53
2023-08-31,voice,361,90.53
2023-09-01,message,140,91.35
2023-09-01,email,1095,91.35
2023-09-01,callback,30,91.35
2023-09-01,voice,243,91.35
2023-09-04,voice,317,94.46
2023-09-04,callback,56,94.46
2023-09-04,email,1270,94.46
2023-09-04,message,207,94.46
2023-09-05,callback,44,93.97
2023-09-05,email,1508,93.97
2023-09-05,voice,336,93.97
2023-09-05,message,225,93.97
2023-09-06,callback,49,92.85
2023-09-06,voice,310,92.85
2023-09-06,message,190,92.85
2023-09-06,email,1527,92.85
2023-09-07,email,1474,94.53
2023-09-07,voice,298,94.53
2023-09-07,message,194,94.53
2023-09-07,callback,63,94.53
2023-09-08,voice,226,94.4
2023-09-08,email,1305,94.4
2023-09-08,message,171,94.4
2023-09-08,callback,79,94.4
2023-09-11,email,1267,93.94
2023-09-11,message,443,93.94
2023-09-11,callback,55,93.94
2023-09-11,voice,184,93.94
2023-09-12,callback,49,94.82
2023-09-12,email,1312,94.82
2023-09-12,voice,212,94.82
2023-09-12,message,234,94.82
2023-09-13,voice,251,95.29
2023-09-13,email,1255,95.29
2023-09-13,callback,54,95.29
